season,home_team,away_team,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
2012,DEN,UTA,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,Al Jefferson,Devin Harris,Gordon Hayward,Paul Millsap,Raja Bell,1
2012,DEN,UTA,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,Al Jefferson,C.J. Miles,Devin Harris,Gordon Hayward,Paul Millsap,1
2012,DEN,UTA,Arron Afflalo,Nene Hilario,Rudy Fernandez,Timofey Mozgov,Ty Lawson,Al Jefferson,C.J. Miles,Devin Harris,Gordon Hayward,Paul Millsap,-1
2012,DEN,UTA,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,Al Jefferson,Derrick Favors,Devin Harris,Gordon Hayward,Raja Bell,1
2012,DEN,UTA,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,Al Jefferson,C.J. Miles,Derrick Favors,Devin Harris,Gordon Hayward,-1
2012,DEN,UTA,Al Harrington,Andre Miller,Danilo Gallinari,Timofey Mozgov,Ty Lawson,Al Jefferson,C.J. Miles,Derrick Favors,Earl Watson,Gordon Hayward,1
2012,DEN,UTA,Al Harrington,Andre Miller,Danilo Gallinari,Rudy Fernandez,Timofey Mozgov,C.J. Miles,Derrick Favors,Earl Watson,Enes Kanter,Gordon Hayward,1
2012,DEN,UTA,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,C.J. Miles,Earl Watson,Enes Kanter,Gordon Hayward,Paul Millsap,1
2012,DEN,UTA,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Al Jefferson,C.J. Miles,Earl Watson,Josh Howard,Paul Millsap,-1
2012,DEN,UTA,Al Harrington,Andre Miller,Chris Andersen,Corey Brewer,Rudy Fernandez,Al Jefferson,Alec Burks,Jamaal Tinsley,Josh Howard,Paul Millsap,-1
2012,DEN,UTA,Andre Miller,Chris Andersen,Corey Brewer,Kenneth Faried,Rudy Fernandez,Al Jefferson,Alec Burks,Jamaal Tinsley,Josh Howard,Paul Millsap,-1
2012,DEN,UTA,Andre Miller,Corey Brewer,Kenneth Faried,Kosta Koufos,Rudy Fernandez,Alec Burks,Derrick Favors,Jamaal Tinsley,Jeremy Evans,Josh Howard,1
2012,DEN,UTA,Corey Brewer,DeMarre Carroll,Kenneth Faried,Kosta Koufos,Rudy Fernandez,Alec Burks,Derrick Favors,Jamaal Tinsley,Jeremy Evans,Josh Howard,1
2012,DEN,UTA,Corey Brewer,DeMarre Carroll,Kenneth Faried,Kosta Koufos,Rudy Fernandez,Alec Burks,Enes Kanter,Jamaal Tinsley,Jeremy Evans,Josh Howard,-1
2012,POR,DEN,Gerald Wallace,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Wesley Matthews,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,POR,DEN,Gerald Wallace,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Wesley Matthews,Al Harrington,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Al Harrington,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,Kurt Thomas,Nicolas Batum,Wesley Matthews,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,Kurt Thomas,Nicolas Batum,Wesley Matthews,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,Kurt Thomas,Nicolas Batum,Wesley Matthews,Al Harrington,Andre Miller,Chris Andersen,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Jamal Crawford,Kurt Thomas,LaMarcus Aldridge,Nicolas Batum,Wesley Matthews,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Jamal Crawford,LaMarcus Aldridge,Nicolas Batum,Raymond Felton,Wesley Matthews,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Jamal Crawford,LaMarcus Aldridge,Nicolas Batum,Raymond Felton,Wesley Matthews,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,Ty Lawson,1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,POR,DEN,Gerald Wallace,LaMarcus Aldridge,Marcus Camby,Nicolas Batum,Raymond Felton,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,1
2012,POR,DEN,Gerald Wallace,Kurt Thomas,LaMarcus Aldridge,Nicolas Batum,Raymond Felton,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,POR,DEN,Gerald Wallace,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Wesley Matthews,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,LaMarcus Aldridge,Marcus Camby,Wesley Matthews,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Ty Lawson,1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,Kurt Thomas,Nicolas Batum,Wesley Matthews,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,Kurt Thomas,Nicolas Batum,Wesley Matthews,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,Kurt Thomas,Nicolas Batum,Raymond Felton,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Jamal Crawford,LaMarcus Aldridge,Nicolas Batum,Raymond Felton,Wesley Matthews,Al Harrington,Andre Miller,Arron Afflalo,Rudy Fernandez,Ty Lawson,-1
2012,POR,DEN,Jamal Crawford,LaMarcus Aldridge,Nicolas Batum,Raymond Felton,Wesley Matthews,Andre Miller,Arron Afflalo,Nene Hilario,Rudy Fernandez,Ty Lawson,1
2012,POR,DEN,Jamal Crawford,LaMarcus Aldridge,Marcus Camby,Raymond Felton,Wesley Matthews,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,Ty Lawson,1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,LaMarcus Aldridge,Marcus Camby,Wesley Matthews,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
2012,POR,DEN,Gerald Wallace,Jamal Crawford,LaMarcus Aldridge,Raymond Felton,Wesley Matthews,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,1
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Arron Afflalo,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,1
2012,LAL,DEN,Derek Fisher,Kobe Bryant,Matt Barnes,Pau Gasol,Troy Murphy,Andre Miller,Danilo Gallinari,Nene Hilario,Timofey Mozgov,Ty Lawson,-1
2012,LAL,DEN,Andrew Bynum,Kobe Bryant,Metta World Peace,Steve Blake,Troy Murphy,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,-1
2012,LAL,DEN,Jason Kapono,Josh McRoberts,Metta World Peace,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Danilo Gallinari,Nene Hilario,Rudy Fernandez,1
2012,LAL,DEN,Jason Kapono,Josh McRoberts,Metta World Peace,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Chris Andersen,Danilo Gallinari,Rudy Fernandez,-1
2012,LAL,DEN,Jason Kapono,Josh McRoberts,Metta World Peace,Pau Gasol,Steve Blake,Al Harrington,Andre Miller,Arron Afflalo,Chris Andersen,Rudy Fernandez,-1
2012,LAL,DEN,Derek Fisher,Josh McRoberts,Kobe Bryant,Metta World Peace,Pau Gasol,Al Harrington,Andre Miller,Arron Afflalo,Nene Hilario,Ty Lawson,1
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Jason Kapono,Josh McRoberts,Kobe Bryant,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,1
2012,LAL,DEN,Andrew Bynum,Derek Fisher,Jason Kapono,Kobe Bryant,Pau Gasol,Andre Miller,Arron Afflalo,Danilo Gallinari,Nene Hilario,Ty Lawson,-1
