season,team,player_0,player_1,player_2,player_3,missing_position,target_player
8.0,29.0,132.0,260.0,755.0,809.0,4,824.0
8.0,29.0,132.0,260.0,755.0,809.0,4,824.0
8.0,29.0,83.0,132.0,230.0,242.0,4,860.0
8.0,29.0,83.0,230.0,242.0,456.0,4,860.0
8.0,29.0,132.0,230.0,456.0,755.0,4,860.0
8.0,29.0,83.0,230.0,242.0,755.0,4,769.0
8.0,10.0,40.0,289.0,336.0,624.0,4,918.0
8.0,10.0,40.0,47.0,591.0,684.0,4,900.0
8.0,10.0,40.0,47.0,376.0,591.0,4,918.0
8.0,10.0,40.0,47.0,376.0,591.0,4,918.0
8.0,10.0,40.0,336.0,376.0,591.0,4,918.0
8.0,10.0,47.0,289.0,376.0,591.0,4,918.0
8.0,10.0,40.0,336.0,376.0,591.0,4,918.0
8.0,10.0,40.0,336.0,376.0,591.0,4,624.0
8.0,10.0,40.0,289.0,376.0,624.0,4,900.0
8.0,10.0,40.0,289.0,376.0,624.0,4,900.0
8.0,10.0,40.0,47.0,289.0,624.0,4,918.0
8.0,10.0,40.0,47.0,289.0,591.0,4,918.0
8.0,10.0,40.0,47.0,289.0,591.0,4,918.0
8.0,28.0,161.0,203.0,608.0,754.0,4,922.0
8.0,28.0,203.0,842.0,951.0,1016.0,4,1017.0
8.0,28.0,161.0,203.0,951.0,1016.0,4,1017.0
8.0,28.0,161.0,203.0,754.0,951.0,4,1016.0
8.0,28.0,608.0,754.0,842.0,922.0,4,1016.0
8.0,28.0,203.0,608.0,754.0,842.0,4,1016.0
8.0,28.0,161.0,203.0,608.0,754.0,4,1016.0
8.0,28.0,161.0,203.0,608.0,754.0,4,1016.0
8.0,28.0,161.0,203.0,608.0,922.0,4,1017.0
8.0,28.0,161.0,922.0,951.0,1016.0,4,1017.0
8.0,28.0,203.0,754.0,842.0,922.0,4,951.0
8.0,10.0,47.0,289.0,376.0,591.0,4,918.0
8.0,10.0,47.0,289.0,376.0,624.0,4,918.0
8.0,10.0,40.0,234.0,336.0,624.0,4,900.0
8.0,10.0,40.0,289.0,336.0,591.0,4,900.0
8.0,10.0,40.0,47.0,289.0,591.0,4,918.0
8.0,10.0,40.0,47.0,289.0,591.0,4,918.0
8.0,10.0,47.0,289.0,376.0,591.0,4,918.0
8.0,10.0,40.0,336.0,376.0,591.0,4,900.0
8.0,10.0,40.0,336.0,376.0,591.0,4,624.0
8.0,10.0,289.0,376.0,591.0,900.0,4,918.0
8.0,11.0,281.0,425.0,455.0,594.0,4,974.0
8.0,11.0,281.0,338.0,391.0,455.0,4,981.0
8.0,11.0,391.0,425.0,594.0,938.0,4,974.0
8.0,11.0,281.0,425.0,455.0,594.0,4,974.0
8.0,11.0,281.0,425.0,455.0,594.0,4,974.0
8.0,11.0,338.0,391.0,425.0,455.0,4,594.0
8.0,11.0,281.0,391.0,425.0,455.0,4,974.0
8.0,11.0,281.0,391.0,425.0,455.0,4,974.0
8.0,27.0,319.0,359.0,668.0,680.0,4,726.0
8.0,27.0,23.0,64.0,359.0,392.0,4,777.0
8.0,27.0,64.0,351.0,392.0,726.0,4,777.0
8.0,27.0,319.0,359.0,668.0,680.0,4,777.0
8.0,27.0,319.0,359.0,668.0,680.0,4,777.0
8.0,27.0,319.0,359.0,668.0,680.0,4,726.0
8.0,27.0,319.0,359.0,680.0,726.0,4,777.0
8.0,27.0,351.0,392.0,668.0,726.0,4,777.0
8.0,27.0,351.0,392.0,668.0,726.0,4,777.0
8.0,27.0,351.0,392.0,668.0,726.0,4,777.0
8.0,27.0,351.0,392.0,668.0,726.0,4,777.0
8.0,10.0,40.0,47.0,376.0,591.0,4,918.0
8.0,10.0,40.0,289.0,336.0,624.0,4,900.0
8.0,10.0,40.0,289.0,336.0,591.0,4,900.0
8.0,10.0,40.0,47.0,289.0,591.0,4,900.0
8.0,10.0,47.0,289.0,376.0,591.0,4,918.0
8.0,10.0,40.0,336.0,376.0,591.0,4,918.0
8.0,10.0,40.0,336.0,376.0,591.0,4,624.0
8.0,10.0,40.0,376.0,624.0,684.0,4,900.0
8.0,10.0,289.0,376.0,591.0,684.0,4,918.0
8.0,10.0,47.0,289.0,376.0,591.0,4,918.0
8.0,10.0,47.0,289.0,376.0,591.0,4,918.0
8.0,10.0,40.0,47.0,289.0,624.0,4,918.0
8.0,10.0,40.0,376.0,624.0,684.0,4,900.0
8.0,10.0,40.0,47.0,376.0,591.0,4,918.0
