season,team,player_0,player_1,player_2,player_3,missing_position,target_player
6.0,26.0,333.0,453.0,536.0,620.0,4,948.0
6.0,26.0,333.0,453.0,536.0,620.0,4,948.0
6.0,26.0,333.0,453.0,536.0,914.0,4,948.0
6.0,26.0,285.0,453.0,536.0,914.0,4,948.0
6.0,26.0,285.0,453.0,536.0,914.0,4,948.0
6.0,26.0,285.0,536.0,753.0,914.0,4,948.0
6.0,26.0,333.0,453.0,536.0,620.0,4,948.0
6.0,26.0,285.0,333.0,536.0,620.0,4,948.0
6.0,26.0,285.0,536.0,753.0,914.0,4,948.0
6.0,26.0,285.0,333.0,453.0,753.0,4,914.0
6.0,26.0,333.0,453.0,536.0,914.0,4,948.0
6.0,25.0,74.0,356.0,398.0,421.0,4,759.0
6.0,25.0,74.0,398.0,421.0,531.0,4,759.0
6.0,25.0,297.0,356.0,380.0,398.0,4,531.0
6.0,25.0,74.0,380.0,398.0,421.0,4,759.0
6.0,25.0,74.0,297.0,356.0,421.0,4,531.0
6.0,25.0,297.0,356.0,380.0,421.0,4,531.0
6.0,25.0,74.0,297.0,356.0,393.0,4,531.0
6.0,25.0,50.0,297.0,398.0,421.0,4,531.0
6.0,25.0,50.0,297.0,356.0,398.0,4,421.0
6.0,25.0,50.0,297.0,356.0,398.0,4,421.0
6.0,25.0,50.0,297.0,393.0,398.0,4,531.0
6.0,25.0,74.0,356.0,398.0,421.0,4,531.0
6.0,16.0,155.0,296.0,623.0,674.0,4,895.0
6.0,16.0,155.0,623.0,719.0,820.0,4,895.0
6.0,16.0,155.0,296.0,495.0,623.0,4,719.0
6.0,16.0,155.0,296.0,495.0,623.0,4,719.0
6.0,16.0,155.0,296.0,623.0,674.0,4,895.0
6.0,16.0,155.0,623.0,674.0,820.0,4,895.0
6.0,16.0,155.0,296.0,674.0,814.0,4,820.0
6.0,16.0,155.0,296.0,623.0,674.0,4,820.0
6.0,16.0,155.0,296.0,623.0,674.0,4,820.0
6.0,8.0,40.0,215.0,571.0,593.0,4,984.0
6.0,8.0,40.0,41.0,181.0,593.0,4,1027.0
6.0,8.0,40.0,41.0,181.0,404.0,4,1027.0
6.0,8.0,40.0,41.0,181.0,404.0,4,1027.0
6.0,8.0,41.0,181.0,215.0,593.0,4,984.0
6.0,8.0,40.0,215.0,571.0,593.0,4,984.0
6.0,8.0,40.0,215.0,571.0,593.0,4,984.0
6.0,8.0,40.0,181.0,571.0,593.0,4,984.0
6.0,8.0,40.0,215.0,404.0,571.0,4,984.0
6.0,8.0,41.0,215.0,404.0,984.0,4,1027.0
6.0,8.0,41.0,181.0,404.0,984.0,4,1027.0
6.0,8.0,40.0,41.0,181.0,404.0,4,1027.0
6.0,11.0,135.0,180.0,425.0,668.0,4,959.0
6.0,11.0,145.0,425.0,472.0,768.0,4,784.0
6.0,11.0,145.0,425.0,472.0,768.0,4,784.0
6.0,11.0,135.0,180.0,425.0,472.0,4,784.0
6.0,11.0,135.0,180.0,425.0,472.0,4,784.0
6.0,11.0,135.0,180.0,425.0,784.0,4,959.0
6.0,11.0,135.0,145.0,425.0,472.0,4,784.0
6.0,8.0,40.0,41.0,181.0,404.0,4,957.0
6.0,8.0,41.0,181.0,404.0,571.0,4,984.0
6.0,8.0,40.0,215.0,571.0,593.0,4,984.0
6.0,8.0,40.0,215.0,571.0,593.0,4,984.0
6.0,8.0,40.0,215.0,404.0,571.0,4,984.0
6.0,8.0,40.0,215.0,571.0,593.0,4,984.0
6.0,8.0,41.0,62.0,181.0,332.0,4,957.0
6.0,8.0,41.0,62.0,181.0,332.0,4,957.0
6.0,10.0,52.0,234.0,376.0,444.0,4,591.0
6.0,10.0,132.0,234.0,444.0,591.0,4,918.0
6.0,10.0,52.0,234.0,444.0,591.0,4,918.0
6.0,10.0,132.0,234.0,591.0,829.0,4,918.0
6.0,10.0,132.0,234.0,444.0,591.0,4,829.0
6.0,10.0,52.0,132.0,376.0,444.0,4,591.0
6.0,10.0,52.0,132.0,444.0,591.0,4,829.0
6.0,10.0,132.0,234.0,444.0,591.0,4,829.0
6.0,10.0,132.0,234.0,444.0,591.0,4,829.0
6.0,10.0,132.0,234.0,444.0,591.0,4,918.0
6.0,27.0,359.0,439.0,662.0,680.0,4,702.0
6.0,27.0,359.0,439.0,662.0,680.0,4,702.0
6.0,27.0,662.0,680.0,777.0,886.0,4,897.0
6.0,27.0,439.0,638.0,662.0,886.0,4,897.0
6.0,27.0,359.0,439.0,662.0,680.0,4,702.0
6.0,27.0,359.0,439.0,662.0,680.0,4,897.0
6.0,27.0,359.0,662.0,680.0,886.0,4,897.0
6.0,27.0,359.0,439.0,662.0,680.0,4,897.0
6.0,8.0,40.0,181.0,215.0,404.0,4,984.0
6.0,8.0,41.0,181.0,404.0,519.0,4,571.0
6.0,8.0,40.0,41.0,519.0,571.0,4,984.0
6.0,8.0,40.0,404.0,519.0,571.0,4,984.0
6.0,8.0,40.0,215.0,519.0,571.0,4,984.0
6.0,8.0,40.0,215.0,404.0,519.0,4,984.0
6.0,8.0,40.0,215.0,404.0,519.0,4,984.0
6.0,8.0,41.0,181.0,215.0,404.0,4,519.0
6.0,8.0,41.0,181.0,404.0,519.0,4,571.0
6.0,8.0,41.0,181.0,404.0,571.0,4,984.0
6.0,8.0,41.0,181.0,404.0,571.0,4,984.0
6.0,30.0,217.0,240.0,920.0,953.0,4,963.0
6.0,30.0,240.0,657.0,920.0,953.0,4,963.0
6.0,30.0,100.0,217.0,657.0,953.0,4,963.0
6.0,30.0,100.0,217.0,657.0,952.0,4,963.0
6.0,30.0,100.0,217.0,657.0,785.0,4,952.0
6.0,30.0,100.0,739.0,785.0,920.0,4,953.0
6.0,30.0,100.0,657.0,920.0,953.0,4,963.0
6.0,30.0,100.0,657.0,920.0,953.0,4,963.0
6.0,30.0,217.0,240.0,920.0,953.0,4,963.0
6.0,30.0,100.0,217.0,657.0,785.0,4,952.0
6.0,30.0,100.0,657.0,739.0,785.0,4,952.0
6.0,30.0,217.0,689.0,739.0,920.0,4,952.0
6.0,30.0,217.0,689.0,739.0,920.0,4,952.0
6.0,15.0,659.0,714.0,802.0,860.0,4,1036.0
6.0,15.0,484.0,659.0,684.0,802.0,4,1013.0
6.0,15.0,484.0,802.0,860.0,960.0,4,1036.0
6.0,15.0,659.0,714.0,860.0,960.0,4,1036.0
6.0,15.0,659.0,714.0,860.0,960.0,4,1036.0
6.0,15.0,484.0,659.0,714.0,802.0,4,1036.0
6.0,15.0,484.0,684.0,802.0,860.0,4,1036.0
6.0,15.0,659.0,714.0,860.0,960.0,4,1036.0
6.0,15.0,659.0,714.0,860.0,960.0,4,1036.0
6.0,15.0,659.0,714.0,860.0,960.0,4,1036.0
6.0,18.0,45.0,579.0,642.0,651.0,4,758.0
