season,team,player_0,player_1,player_2,player_3,missing_position,target_player
3.0,13.0,15.0,80.0,161.0,320.0,4,665.0
3.0,13.0,80.0,191.0,320.0,665.0,4,817.0
3.0,13.0,80.0,191.0,320.0,665.0,4,817.0
3.0,13.0,15.0,161.0,320.0,665.0,4,886.0
3.0,13.0,80.0,161.0,320.0,665.0,4,817.0
3.0,13.0,161.0,320.0,665.0,817.0,4,886.0
3.0,13.0,15.0,161.0,191.0,817.0,4,886.0
3.0,13.0,15.0,161.0,191.0,817.0,4,886.0
3.0,13.0,15.0,80.0,161.0,320.0,4,665.0
3.0,27.0,33.0,146.0,363.0,624.0,4,924.0
3.0,27.0,33.0,359.0,439.0,624.0,4,633.0
3.0,27.0,33.0,439.0,624.0,633.0,4,924.0
3.0,27.0,33.0,146.0,363.0,624.0,4,924.0
3.0,27.0,146.0,363.0,624.0,633.0,4,924.0
3.0,27.0,33.0,146.0,363.0,439.0,4,924.0
3.0,27.0,33.0,363.0,439.0,633.0,4,924.0
3.0,27.0,33.0,146.0,363.0,624.0,4,924.0
3.0,27.0,146.0,363.0,624.0,633.0,4,924.0
3.0,27.0,146.0,359.0,439.0,633.0,4,924.0
3.0,27.0,146.0,300.0,439.0,453.0,4,924.0
3.0,27.0,33.0,146.0,363.0,453.0,4,924.0
3.0,27.0,146.0,363.0,453.0,633.0,4,924.0
3.0,27.0,146.0,363.0,453.0,633.0,4,924.0
3.0,27.0,33.0,146.0,363.0,453.0,4,924.0
3.0,27.0,33.0,146.0,439.0,624.0,4,924.0
3.0,27.0,33.0,146.0,439.0,624.0,4,924.0
3.0,27.0,33.0,359.0,439.0,624.0,4,633.0
3.0,27.0,33.0,146.0,363.0,453.0,4,924.0
3.0,16.0,296.0,477.0,674.0,798.0,4,996.0
3.0,16.0,133.0,285.0,477.0,702.0,4,996.0
3.0,16.0,296.0,477.0,674.0,798.0,4,996.0
3.0,16.0,296.0,477.0,674.0,798.0,4,996.0
3.0,16.0,296.0,477.0,674.0,702.0,4,798.0
3.0,16.0,296.0,477.0,674.0,798.0,4,996.0
3.0,25.0,294.0,398.0,421.0,688.0,4,864.0
3.0,25.0,294.0,398.0,421.0,688.0,4,864.0
3.0,25.0,294.0,398.0,457.0,688.0,4,864.0
3.0,25.0,106.0,398.0,457.0,662.0,4,711.0
3.0,25.0,106.0,398.0,421.0,662.0,4,711.0
3.0,25.0,398.0,421.0,662.0,711.0,4,864.0
3.0,25.0,294.0,398.0,421.0,688.0,4,864.0
3.0,25.0,294.0,398.0,421.0,711.0,4,864.0
3.0,25.0,294.0,398.0,457.0,711.0,4,864.0
3.0,25.0,106.0,294.0,457.0,688.0,4,711.0
3.0,25.0,106.0,457.0,662.0,688.0,4,711.0
3.0,25.0,59.0,106.0,457.0,662.0,4,688.0
3.0,1.0,570.0,577.0,790.0,808.0,4,820.0
3.0,1.0,305.0,682.0,815.0,820.0,4,905.0
3.0,1.0,570.0,577.0,790.0,808.0,4,820.0
3.0,1.0,570.0,577.0,790.0,808.0,4,820.0
3.0,1.0,570.0,577.0,682.0,790.0,4,808.0
3.0,1.0,577.0,682.0,790.0,808.0,4,815.0
3.0,1.0,305.0,577.0,790.0,815.0,4,820.0
3.0,1.0,577.0,790.0,808.0,815.0,4,820.0
3.0,1.0,577.0,790.0,808.0,815.0,4,820.0
3.0,34.0,36.0,112.0,137.0,247.0,4,355.0
3.0,34.0,36.0,137.0,247.0,335.0,4,811.0
3.0,34.0,36.0,112.0,137.0,247.0,4,811.0
