season,team,player_0,player_1,player_2,player_3,missing_position,target_player
5.0,7.0,112.0,250.0,277.0,451.0,4,902.0
5.0,7.0,115.0,277.0,451.0,455.0,4,902.0
5.0,7.0,115.0,277.0,451.0,455.0,4,902.0
5.0,7.0,250.0,609.0,846.0,885.0,4,1005.0
5.0,7.0,250.0,609.0,846.0,885.0,4,1005.0
5.0,7.0,250.0,609.0,846.0,885.0,4,1005.0
5.0,8.0,74.0,215.0,747.0,957.0,4,984.0
5.0,8.0,41.0,215.0,747.0,957.0,4,984.0
5.0,8.0,12.0,41.0,747.0,859.0,4,984.0
5.0,8.0,12.0,41.0,74.0,153.0,4,859.0
5.0,8.0,12.0,41.0,215.0,747.0,4,984.0
5.0,8.0,41.0,215.0,747.0,859.0,4,984.0
5.0,8.0,41.0,215.0,747.0,859.0,4,984.0
5.0,8.0,74.0,215.0,747.0,957.0,4,984.0
5.0,8.0,12.0,41.0,215.0,957.0,4,984.0
5.0,8.0,12.0,41.0,215.0,859.0,4,957.0
5.0,8.0,12.0,41.0,153.0,215.0,4,859.0
5.0,8.0,41.0,181.0,571.0,593.0,4,859.0
5.0,8.0,181.0,244.0,571.0,593.0,4,859.0
5.0,28.0,353.0,608.0,665.0,822.0,4,1016.0
5.0,28.0,353.0,418.0,598.0,754.0,4,1016.0
5.0,28.0,418.0,608.0,754.0,822.0,4,1016.0
5.0,28.0,353.0,608.0,665.0,754.0,4,822.0
5.0,28.0,353.0,608.0,665.0,822.0,4,1016.0
5.0,28.0,353.0,418.0,608.0,665.0,4,1016.0
5.0,28.0,418.0,608.0,754.0,822.0,4,1016.0
5.0,28.0,418.0,608.0,665.0,822.0,4,1016.0
5.0,28.0,353.0,418.0,608.0,822.0,4,1016.0
5.0,14.0,48.0,254.0,592.0,688.0,4,786.0
5.0,14.0,450.0,531.0,700.0,786.0,4,922.0
5.0,14.0,254.0,531.0,592.0,700.0,4,786.0
5.0,14.0,48.0,254.0,450.0,531.0,4,592.0
5.0,14.0,48.0,254.0,450.0,592.0,4,786.0
5.0,14.0,48.0,592.0,688.0,786.0,4,922.0
5.0,14.0,48.0,592.0,688.0,786.0,4,922.0
5.0,14.0,48.0,450.0,531.0,700.0,4,922.0
5.0,14.0,48.0,450.0,531.0,592.0,4,922.0
5.0,14.0,48.0,254.0,592.0,688.0,4,786.0
5.0,8.0,12.0,74.0,215.0,747.0,4,984.0
5.0,8.0,12.0,74.0,153.0,215.0,4,984.0
5.0,8.0,12.0,41.0,153.0,215.0,4,984.0
5.0,8.0,12.0,41.0,153.0,859.0,4,984.0
5.0,8.0,12.0,41.0,74.0,747.0,4,859.0
5.0,8.0,12.0,74.0,153.0,215.0,4,984.0
5.0,8.0,12.0,74.0,153.0,215.0,4,984.0
5.0,8.0,41.0,74.0,153.0,747.0,4,859.0
5.0,8.0,12.0,41.0,215.0,747.0,4,984.0
5.0,8.0,12.0,41.0,215.0,747.0,4,984.0
5.0,8.0,12.0,41.0,153.0,181.0,4,859.0
5.0,8.0,74.0,215.0,593.0,859.0,4,984.0
5.0,8.0,74.0,181.0,215.0,593.0,4,984.0
5.0,8.0,12.0,74.0,215.0,593.0,4,984.0
5.0,8.0,12.0,41.0,153.0,181.0,4,859.0
5.0,8.0,12.0,41.0,215.0,859.0,4,984.0
5.0,8.0,74.0,215.0,593.0,957.0,4,984.0
