season,team,player_0,player_1,player_2,player_3,missing_position,target_player
0.0,14.0,609.0,644.0,695.0,855.0,4,907.0
0.0,14.0,609.0,644.0,695.0,855.0,4,907.0
0.0,14.0,116.0,695.0,877.0,907.0,4,1007.0
0.0,14.0,116.0,518.0,609.0,877.0,4,1007.0
0.0,14.0,116.0,518.0,609.0,877.0,4,1007.0
0.0,14.0,116.0,609.0,877.0,907.0,4,1007.0
0.0,14.0,48.0,609.0,695.0,877.0,4,907.0
0.0,14.0,48.0,609.0,644.0,695.0,4,907.0
0.0,14.0,48.0,609.0,644.0,695.0,4,907.0
0.0,14.0,48.0,609.0,644.0,695.0,4,907.0
0.0,14.0,48.0,609.0,644.0,695.0,4,907.0
0.0,14.0,518.0,609.0,644.0,695.0,4,1007.0
0.0,14.0,116.0,518.0,609.0,877.0,4,1007.0
0.0,27.0,33.0,624.0,807.0,902.0,4,924.0
0.0,27.0,33.0,624.0,807.0,902.0,4,924.0
0.0,27.0,33.0,624.0,664.0,902.0,4,924.0
0.0,27.0,33.0,100.0,427.0,624.0,4,664.0
0.0,27.0,100.0,427.0,624.0,664.0,4,902.0
0.0,27.0,33.0,624.0,807.0,902.0,4,924.0
0.0,27.0,598.0,624.0,807.0,902.0,4,924.0
0.0,27.0,33.0,100.0,427.0,624.0,4,664.0
0.0,27.0,598.0,624.0,807.0,902.0,4,924.0
0.0,27.0,33.0,100.0,427.0,624.0,4,664.0
0.0,27.0,100.0,427.0,598.0,624.0,4,664.0
0.0,27.0,100.0,427.0,598.0,624.0,4,664.0
0.0,27.0,598.0,624.0,807.0,902.0,4,924.0
0.0,27.0,598.0,624.0,807.0,902.0,4,924.0
0.0,27.0,33.0,427.0,624.0,664.0,4,902.0
0.0,27.0,598.0,624.0,807.0,902.0,4,924.0
0.0,13.0,192.0,315.0,871.0,900.0,4,956.0
0.0,13.0,182.0,192.0,315.0,900.0,4,956.0
0.0,13.0,161.0,182.0,192.0,900.0,4,956.0
0.0,13.0,161.0,182.0,212.0,315.0,4,871.0
0.0,13.0,161.0,182.0,315.0,803.0,4,871.0
0.0,13.0,182.0,315.0,803.0,900.0,4,956.0
0.0,13.0,182.0,192.0,315.0,900.0,4,956.0
0.0,13.0,161.0,182.0,192.0,900.0,4,956.0
0.0,13.0,161.0,182.0,192.0,900.0,4,956.0
0.0,30.0,113.0,705.0,839.0,953.0,4,963.0
0.0,30.0,86.0,113.0,335.0,953.0,4,963.0
0.0,30.0,113.0,335.0,657.0,953.0,4,963.0
0.0,30.0,113.0,335.0,657.0,953.0,4,963.0
0.0,30.0,121.0,335.0,657.0,953.0,4,963.0
0.0,30.0,113.0,121.0,839.0,953.0,4,963.0
0.0,30.0,113.0,121.0,335.0,953.0,4,963.0
0.0,30.0,113.0,335.0,657.0,953.0,4,963.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,100.0,414.0,624.0,664.0,4,902.0
0.0,27.0,33.0,100.0,414.0,624.0,4,902.0
0.0,27.0,33.0,100.0,414.0,624.0,4,902.0
0.0,27.0,33.0,414.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,100.0,414.0,427.0,624.0,4,924.0
0.0,27.0,33.0,414.0,427.0,624.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,100.0,414.0,427.0,902.0,4,924.0
0.0,27.0,414.0,543.0,598.0,624.0,4,902.0
0.0,27.0,543.0,598.0,624.0,902.0,4,924.0
0.0,27.0,33.0,598.0,624.0,902.0,4,924.0
0.0,27.0,33.0,598.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,624.0,902.0,4,924.0
0.0,27.0,33.0,100.0,414.0,902.0,4,924.0
0.0,27.0,33.0,100.0,414.0,624.0,4,902.0
0.0,27.0,33.0,100.0,624.0,807.0,4,902.0
0.0,27.0,33.0,598.0,624.0,807.0,4,902.0
0.0,27.0,100.0,414.0,598.0,624.0,4,664.0
0.0,27.0,33.0,624.0,664.0,807.0,4,902.0
0.0,27.0,33.0,100.0,624.0,807.0,4,902.0
0.0,27.0,33.0,100.0,624.0,807.0,4,902.0
0.0,27.0,33.0,598.0,624.0,807.0,4,902.0
0.0,27.0,100.0,598.0,664.0,807.0,4,902.0
0.0,27.0,33.0,414.0,624.0,664.0,4,902.0
0.0,33.0,125.0,134.0,255.0,698.0,4,853.0
0.0,33.0,125.0,134.0,255.0,445.0,4,853.0
0.0,33.0,134.0,254.0,255.0,445.0,4,692.0
0.0,33.0,254.0,255.0,692.0,698.0,4,789.0
0.0,33.0,254.0,255.0,692.0,698.0,4,789.0
0.0,33.0,134.0,255.0,692.0,698.0,4,789.0
0.0,33.0,134.0,255.0,692.0,698.0,4,789.0
0.0,33.0,125.0,134.0,255.0,698.0,4,853.0
0.0,33.0,125.0,255.0,698.0,848.0,4,853.0
0.0,33.0,134.0,254.0,255.0,692.0,4,698.0
0.0,33.0,134.0,254.0,255.0,692.0,4,698.0
0.0,33.0,134.0,255.0,692.0,698.0,4,789.0
0.0,10.0,52.0,453.0,711.0,715.0,4,731.0
0.0,10.0,453.0,688.0,715.0,731.0,4,983.0
0.0,10.0,453.0,711.0,715.0,731.0,4,983.0
0.0,10.0,52.0,453.0,711.0,715.0,4,731.0
0.0,10.0,52.0,688.0,711.0,715.0,4,731.0
0.0,10.0,63.0,453.0,711.0,731.0,4,983.0
0.0,10.0,52.0,63.0,711.0,715.0,4,731.0
