season,team,player_0,player_1,player_2,player_3,missing_position,target_player
2.0,30.0,121.0,689.0,705.0,953.0,4,963.0
2.0,30.0,389.0,409.0,689.0,847.0,4,953.0
2.0,30.0,389.0,598.0,689.0,847.0,4,963.0
2.0,30.0,121.0,598.0,689.0,847.0,4,963.0
2.0,30.0,689.0,705.0,847.0,953.0,4,963.0
2.0,30.0,598.0,689.0,705.0,847.0,4,963.0
2.0,30.0,389.0,598.0,705.0,847.0,4,963.0
2.0,30.0,121.0,598.0,705.0,953.0,4,963.0
2.0,30.0,389.0,598.0,689.0,847.0,4,963.0
2.0,30.0,389.0,409.0,598.0,847.0,4,953.0
2.0,30.0,121.0,689.0,705.0,953.0,4,963.0
2.0,27.0,33.0,624.0,688.0,898.0,4,924.0
2.0,27.0,33.0,624.0,688.0,898.0,4,924.0
2.0,27.0,33.0,100.0,688.0,807.0,4,924.0
2.0,27.0,33.0,100.0,359.0,363.0,4,807.0
2.0,27.0,33.0,100.0,359.0,363.0,4,624.0
2.0,27.0,33.0,100.0,359.0,363.0,4,624.0
2.0,27.0,33.0,100.0,363.0,807.0,4,924.0
2.0,27.0,33.0,688.0,807.0,898.0,4,924.0
2.0,27.0,33.0,100.0,363.0,624.0,4,924.0
2.0,27.0,33.0,363.0,807.0,898.0,4,924.0
2.0,27.0,33.0,363.0,807.0,898.0,4,924.0
2.0,27.0,33.0,688.0,807.0,898.0,4,924.0
2.0,27.0,33.0,100.0,624.0,688.0,4,807.0
2.0,27.0,33.0,100.0,363.0,624.0,4,688.0
2.0,12.0,216.0,462.0,682.0,933.0,4,983.0
2.0,12.0,216.0,462.0,682.0,933.0,4,983.0
2.0,12.0,111.0,444.0,856.0,933.0,4,983.0
2.0,12.0,111.0,216.0,462.0,682.0,4,933.0
2.0,12.0,216.0,462.0,682.0,933.0,4,983.0
2.0,12.0,111.0,216.0,650.0,682.0,4,933.0
2.0,12.0,216.0,682.0,856.0,933.0,4,983.0
2.0,12.0,111.0,216.0,444.0,682.0,4,856.0
2.0,4.0,3.0,259.0,290.0,589.0,4,646.0
2.0,4.0,259.0,290.0,487.0,589.0,4,646.0
2.0,4.0,81.0,259.0,290.0,487.0,4,646.0
2.0,4.0,81.0,259.0,487.0,646.0,4,992.0
2.0,4.0,46.0,81.0,259.0,487.0,4,992.0
2.0,4.0,46.0,81.0,487.0,589.0,4,992.0
2.0,4.0,46.0,81.0,487.0,589.0,4,992.0
2.0,4.0,46.0,81.0,487.0,589.0,4,992.0
