game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
201112260DAL,2012,DAL,DEN,0,174,128,102,31,375,460,556,253,709,655,1
201112260DAL,2012,DAL,DEN,6,174,128,102,338,428,460,556,253,709,655,-1
201112260DAL,2012,DAL,DEN,7,174,128,102,338,428,101,556,253,709,655,-1
201112260DAL,2012,DAL,DEN,9,174,128,338,1,428,106,101,556,253,655,-1
201112260DAL,2012,DAL,DEN,11,128,509,338,1,428,106,101,534,556,585,-1
201112260DAL,2012,DAL,DEN,12,102,338,1,651,375,106,101,460,534,585,-1
201112260DAL,2012,DAL,DEN,16,102,31,338,1,375,106,101,460,534,585,-1
201112260DAL,2012,DAL,DEN,17,102,31,338,1,375,106,101,460,253,585,-1
201112260DAL,2012,DAL,DEN,18,174,31,338,1,375,106,101,460,253,585,-1
201112260DAL,2012,DAL,DEN,20,174,31,338,1,375,101,556,253,585,655,-1
201112260DAL,2012,DAL,DEN,21,174,102,31,375,428,101,556,253,585,655,-1
201112260DAL,2012,DAL,DEN,23,174,102,31,338,1,106,556,253,585,655,-1
201112260DAL,2012,DAL,DEN,24,174,102,706,31,1,106,460,556,253,655,-1
201112260DAL,2012,DAL,DEN,25,174,102,31,338,375,460,556,253,709,655,-1
201112260DAL,2012,DAL,DEN,29,173,102,31,338,375,460,556,253,709,655,1
201112260DAL,2012,DAL,DEN,31,173,102,31,338,375,101,460,534,556,655,1
201112260DAL,2012,DAL,DEN,32,173,102,31,338,1,101,460,534,556,655,-1
201112260DAL,2012,DAL,DEN,34,128,1,651,512,428,101,534,556,585,655,1
201112260DAL,2012,DAL,DEN,35,128,1,651,512,428,106,101,534,585,655,-1
201112260DAL,2012,DAL,DEN,36,128,1,651,512,428,106,101,534,462,585,1
201112260DAL,2012,DAL,DEN,42,128,1,651,512,428,460,534,462,585,655,1
201112260DAL,2012,DAL,DEN,46,128,706,509,1,428,460,462,567,585,655,-1
201112280DEN,2012,DEN,UTA,0,460,556,253,709,655,32,678,50,699,322,-1
201112280DEN,2012,DEN,UTA,5,460,556,253,709,655,32,50,699,326,322,1
201112280DEN,2012,DEN,UTA,7,101,556,253,709,655,32,50,699,326,322,1
201112280DEN,2012,DEN,UTA,8,106,101,253,585,655,32,19,124,326,322,1
201112280DEN,2012,DEN,UTA,10,106,101,534,585,655,19,124,752,412,326,-1
201112280DEN,2012,DEN,UTA,13,106,101,460,534,585,19,124,752,412,326,-1
201112280DEN,2012,DEN,UTA,16,106,101,460,534,585,32,19,124,412,326,1
201112280DEN,2012,DEN,UTA,17,106,101,556,253,585,32,50,699,710,322,-1
201112280DEN,2012,DEN,UTA,20,106,101,556,253,655,32,50,699,710,322,1
201112280DEN,2012,DEN,UTA,21,101,556,253,585,655,32,50,699,710,322,-1
201112280DEN,2012,DEN,UTA,22,101,556,253,585,655,32,50,699,326,322,1
201112280DEN,2012,DEN,UTA,23,101,556,253,585,655,32,19,50,699,326,1
201112280DEN,2012,DEN,UTA,24,460,253,585,709,655,32,19,50,699,326,-1
201112280DEN,2012,DEN,UTA,25,460,556,253,709,655,32,678,50,699,322,1
201112280DEN,2012,DEN,UTA,30,460,556,253,709,655,32,19,678,50,699,-1
201112280DEN,2012,DEN,UTA,32,106,101,556,709,655,32,19,678,124,699,1
201112280DEN,2012,DEN,UTA,33,106,101,556,585,709,19,678,124,752,699,1
201112280DEN,2012,DEN,UTA,34,106,101,534,556,585,19,124,752,699,326,1
201112280DEN,2012,DEN,UTA,37,106,101,534,462,585,32,19,124,412,326,-1
201112280DEN,2012,DEN,UTA,39,106,101,534,462,585,32,733,188,412,326,-1
201112280DEN,2012,DEN,UTA,40,101,534,462,773,585,32,733,188,412,326,-1
201112280DEN,2012,DEN,UTA,41,101,462,773,567,585,733,678,188,710,412,1
201112280DEN,2012,DEN,UTA,43,462,609,773,567,585,733,678,188,710,412,1
201112280DEN,2012,DEN,UTA,45,462,609,773,567,585,733,752,188,710,412,-1
201112290POR,2012,POR,DEN,0,36,230,270,366,658,460,556,253,709,655,1
201112290POR,2012,POR,DEN,4,36,230,270,366,658,106,460,556,253,655,-1
201112290POR,2012,POR,DEN,7,36,213,230,270,366,106,101,460,556,253,-1
201112290POR,2012,POR,DEN,9,36,213,7,576,658,106,101,556,253,585,1
201112290POR,2012,POR,DEN,10,36,213,7,576,658,106,101,534,556,585,-1
201112290POR,2012,POR,DEN,11,36,213,7,576,658,106,101,534,585,655,-1
201112290POR,2012,POR,DEN,15,213,7,230,576,658,106,101,460,585,655,-1
201112290POR,2012,POR,DEN,16,213,230,576,366,658,106,101,460,585,655,-1
201112290POR,2012,POR,DEN,17,213,230,576,366,658,101,460,253,585,655,1
201112290POR,2012,POR,DEN,19,36,213,230,270,366,101,460,253,585,655,-1
201112290POR,2012,POR,DEN,20,36,213,230,270,366,101,460,556,253,655,-1
201112290POR,2012,POR,DEN,21,36,230,270,576,366,101,460,556,253,655,1
201112290POR,2012,POR,DEN,23,36,7,230,576,366,106,101,556,253,655,-1
201112290POR,2012,POR,DEN,24,36,230,270,366,658,460,556,253,709,655,1
201112290POR,2012,POR,DEN,32,36,213,230,270,658,106,101,556,253,655,1
201112290POR,2012,POR,DEN,35,36,213,7,576,658,106,101,534,556,585,-1
201112290POR,2012,POR,DEN,36,36,213,7,576,658,106,101,460,585,655,-1
201112290POR,2012,POR,DEN,37,36,213,7,576,366,106,101,460,585,655,-1
201112290POR,2012,POR,DEN,38,213,230,576,366,658,106,101,460,585,655,-1
201112290POR,2012,POR,DEN,40,213,230,576,366,658,101,460,253,585,655,1
201112290POR,2012,POR,DEN,41,213,230,270,366,658,101,556,253,585,655,1
201112290POR,2012,POR,DEN,44,36,213,230,270,658,101,460,556,253,655,-1
201112290POR,2012,POR,DEN,46,36,213,230,366,658,101,460,556,253,655,1
201112310LAL,2012,LAL,DEN,0,0,21,114,235,245,460,556,253,709,655,1
201112310LAL,2012,LAL,DEN,7,21,114,235,245,426,101,556,253,709,655,-1
201112310LAL,2012,LAL,DEN,10,0,114,244,385,426,106,101,556,253,585,-1
201112310LAL,2012,LAL,DEN,11,309,493,244,245,385,106,101,556,253,585,1
201112310LAL,2012,LAL,DEN,12,309,493,244,245,385,106,101,534,556,585,-1
201112310LAL,2012,LAL,DEN,15,309,493,244,245,385,106,101,460,534,585,-1
201112310LAL,2012,LAL,DEN,17,21,493,114,244,245,106,101,460,253,655,1
201112310LAL,2012,LAL,DEN,20,0,21,309,493,114,101,460,556,253,655,1
201112310LAL,2012,LAL,DEN,22,0,21,309,114,245,101,460,556,253,655,-1
201112310LAL,2012,LAL,DEN,23,0,21,309,114,245,101,556,253,709,655,-1
201112310LAL,2012,LAL,DEN,24,0,21,309,114,245,460,556,253,709,655,1
201112310LAL,2012,LAL,DEN,25,0,114,235,245,385,460,556,253,709,655,1
201112310LAL,2012,LAL,DEN,30,0,114,235,245,385,106,101,556,253,655,1
201112310LAL,2012,LAL,DEN,31,309,493,244,245,385,106,101,556,253,655,-1
201112310LAL,2012,LAL,DEN,34,309,493,244,245,385,106,101,556,585,709,-1
