game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
201410290SAC,2015,SAC,GSW,0,888,605,677,573,341,73,824,837,781,649,-1
201410290SAC,2015,SAC,GSW,7,888,605,677,573,341,824,844,837,781,649,-1
201410290SAC,2015,SAC,GSW,8,471,605,677,990,341,100,844,781,572,649,-1
201410290SAC,2015,SAC,GSW,9,471,605,677,734,990,100,844,781,572,649,-1
201410290SAC,2015,SAC,GSW,10,471,734,990,515,339,100,844,781,572,649,-1
201410290SAC,2015,SAC,GSW,11,471,734,990,515,339,100,844,781,86,572,1
201410290SAC,2015,SAC,GSW,12,471,734,990,515,339,100,870,86,572,955,-1
201410290SAC,2015,SAC,GSW,13,471,734,990,515,339,100,73,870,86,572,1
201410290SAC,2015,SAC,GSW,16,471,734,990,515,339,100,73,824,781,649,-1
201410290SAC,2015,SAC,GSW,17,677,573,990,515,341,100,73,824,781,649,-1
201410290SAC,2015,SAC,GSW,18,888,605,677,573,341,73,824,837,781,649,-1
201410290SAC,2015,SAC,GSW,19,888,605,677,573,341,824,844,837,781,649,-1
201410290SAC,2015,SAC,GSW,20,888,471,605,677,341,824,837,781,955,649,1
201410290SAC,2015,SAC,GSW,23,471,605,677,990,341,824,837,781,572,649,-1
201410290SAC,2015,SAC,GSW,24,471,605,677,734,990,100,824,837,781,572,-1
201410290SAC,2015,SAC,GSW,25,888,605,677,573,341,73,824,837,781,649,-1
201410290SAC,2015,SAC,GSW,26,888,605,677,573,341,824,844,837,781,649,1
201410290SAC,2015,SAC,GSW,28,888,605,677,573,341,824,837,781,955,649,-1
201410290SAC,2015,SAC,GSW,29,471,605,573,990,341,100,824,781,955,649,1
201410290SAC,2015,SAC,GSW,30,471,605,573,990,341,100,824,837,781,649,-1
201410290SAC,2015,SAC,GSW,32,471,605,734,990,341,100,824,837,781,649,-1
201410290SAC,2015,SAC,GSW,33,471,734,990,515,341,100,824,837,86,649,-1
201410290SAC,2015,SAC,GSW,34,888,605,677,990,641,100,824,837,86,649,-1
201410290SAC,2015,SAC,GSW,35,888,605,677,990,641,100,824,86,572,649,1
201410290SAC,2015,SAC,GSW,37,888,605,677,990,641,100,837,86,572,376,-1
201410290SAC,2015,SAC,GSW,38,605,677,990,641,341,100,837,86,572,376,-1
201410290SAC,2015,SAC,GSW,39,605,573,990,641,341,837,781,86,572,376,-1
201410290SAC,2015,SAC,GSW,40,605,573,990,641,341,100,837,781,572,649,-1
201410290SAC,2015,SAC,GSW,43,888,605,677,641,341,100,73,824,781,86,-1
201410290SAC,2015,SAC,GSW,45,888,605,677,641,341,100,73,824,781,649,-1
201411010GSW,2015,GSW,LAL,0,73,824,837,781,649,20,697,606,114,721,-1
201411010GSW,2015,GSW,LAL,6,73,824,837,86,649,20,697,606,114,721,-1
201411010GSW,2015,GSW,LAL,8,100,824,844,86,649,665,606,114,383,721,1
201411010GSW,2015,GSW,LAL,10,100,824,844,86,649,665,606,383,654,721,-1
201411010GSW,2015,GSW,LAL,12,100,844,86,572,376,665,606,383,654,721,-1
201411010GSW,2015,GSW,LAL,13,100,73,781,572,376,665,875,383,654,717,1
201411010GSW,2015,GSW,LAL,17,100,73,837,781,649,20,114,875,383,717,-1
201411010GSW,2015,GSW,LAL,18,100,73,837,781,649,20,697,606,114,717,1
201411010GSW,2015,GSW,LAL,20,100,73,837,781,649,697,606,114,721,717,1
201411010GSW,2015,GSW,LAL,22,100,844,837,781,649,697,606,114,654,721,1
201411010GSW,2015,GSW,LAL,23,100,844,781,376,649,665,697,114,654,721,-1
201411010GSW,2015,GSW,LAL,24,100,844,837,86,376,665,697,114,654,721,-1
201411010GSW,2015,GSW,LAL,25,73,824,837,781,649,20,697,606,114,721,1
201411010GSW,2015,GSW,LAL,31,100,73,824,781,649,20,697,606,114,721,-1
201411010GSW,2015,GSW,LAL,32,100,73,824,781,649,665,606,114,383,721,-1
201411010GSW,2015,GSW,LAL,33,100,844,837,781,649,665,606,114,383,721,1
201411010GSW,2015,GSW,LAL,34,100,844,837,781,86,665,606,114,383,721,-1
201411010GSW,2015,GSW,LAL,35,100,844,837,781,86,665,114,383,654,721,1
201411010GSW,2015,GSW,LAL,37,100,844,837,781,86,665,697,976,383,654,-1
201411010GSW,2015,GSW,LAL,38,100,824,837,86,376,665,697,976,383,654,1
201411010GSW,2015,GSW,LAL,40,100,824,837,86,376,697,606,114,383,654,1
201411010GSW,2015,GSW,LAL,41,100,73,824,86,649,20,697,606,114,383,1
201411010GSW,2015,GSW,LAL,42,100,73,824,781,649,20,697,606,114,383,1
201411010GSW,2015,GSW,LAL,43,100,73,824,781,649,20,697,606,114,721,1
201411010GSW,2015,GSW,LAL,47,824,837,870,86,376,665,976,875,383,654,-1
201411020POR,2015,POR,GSW,0,815,230,576,587,658,73,824,837,781,649,-1
201411020POR,2015,POR,GSW,8,11,815,230,576,385,73,837,781,572,649,1
201411020POR,2015,POR,GSW,9,11,815,230,576,385,100,73,781,572,649,-1
201411020POR,2015,POR,GSW,10,896,11,230,385,882,100,844,781,572,649,-1
201411020POR,2015,POR,GSW,11,896,11,230,385,882,100,844,781,86,572,-1
201411020POR,2015,POR,GSW,12,896,11,587,385,882,100,844,86,572,376,-1
201411020POR,2015,POR,GSW,13,815,587,385,864,882,100,844,86,572,376,-1
201411020POR,2015,POR,GSW,15,815,587,864,658,882,100,844,837,86,376,1
201411020POR,2015,POR,GSW,17,11,815,864,658,882,100,73,837,86,376,1
201411020POR,2015,POR,GSW,18,11,815,576,864,658,100,73,824,781,649,1
201411020POR,2015,POR,GSW,21,230,576,587,385,658,100,73,824,781,649,1
201411020POR,2015,POR,GSW,22,230,576,587,385,658,73,824,837,781,649,-1
201411020POR,2015,POR,GSW,23,230,576,587,385,658,844,837,86,572,649,-1
201411020POR,2015,POR,GSW,24,11,815,230,385,658,844,837,86,572,649,-1
201411020POR,2015,POR,GSW,25,815,230,576,587,658,844,837,86,572,649,-1
201411020POR,2015,POR,GSW,26,815,230,576,587,658,73,824,837,781,649,1
201411020POR,2015,POR,GSW,29,11,815,230,576,658,73,824,837,781,649,-1
201411020POR,2015,POR,GSW,30,11,815,230,576,658,100,73,824,781,649,1
201411020POR,2015,POR,GSW,31,11,815,230,576,658,100,824,844,781,649,1
201411020POR,2015,POR,GSW,33,11,815,230,576,385,100,824,844,781,376,-1
201411020POR,2015,POR,GSW,34,11,815,230,385,882,100,824,844,781,376,1
201411020POR,2015,POR,GSW,37,11,385,864,658,882,100,837,86,572,376,1
201411020POR,2015,POR,GSW,40,587,385,864,658,882,100,73,837,86,376,-1
201411020POR,2015,POR,GSW,42,815,576,587,385,864,100,73,837,86,376,1
201411020POR,2015,POR,GSW,43,815,230,576,587,385,100,73,824,781,649,-1
201411020POR,2015,POR,GSW,45,815,230,576,587,658,100,73,824,781,649,-1
201411050GSW,2015,GSW,LAC,0,73,824,837,781,649,669,121,545,210,235,1
201411050GSW,2015,GSW,LAC,6,73,824,837,86,649,669,121,545,210,235,1
201411050GSW,2015,GSW,LAC,9,100,73,72,86,649,669,121,545,213,235,-1
201411050GSW,2015,GSW,LAC,11,100,72,844,86,376,669,121,213,931,530,1
201411050GSW,2015,GSW,LAC,13,100,72,844,86,376,669,213,4,931,530,-1
201411050GSW,2015,GSW,LAC,15,100,72,844,86,376,545,213,4,931,530,-1
201411050GSW,2015,GSW,LAC,16,100,824,844,781,376,545,213,4,931,530,1
201411050GSW,2015,GSW,LAC,18,100,73,824,781,649,121,545,213,931,530,1
201411050GSW,2015,GSW,LAC,19,100,73,824,781,649,669,121,545,210,213,1
201411050GSW,2015,GSW,LAC,20,73,824,837,781,649,669,121,545,210,235,1
201411050GSW,2015,GSW,LAC,30,100,73,824,781,376,669,121,545,210,235,-1
201411050GSW,2015,GSW,LAC,31,100,73,824,781,376,669,121,545,210,213,-1
201411050GSW,2015,GSW,LAC,32,100,73,837,781,376,669,121,210,213,530,-1
201411050GSW,2015,GSW,LAC,34,100,844,837,781,376,669,121,213,4,530,1
201411050GSW,2015,GSW,LAC,35,100,844,837,781,86,669,121,213,4,530,1
201411050GSW,2015,GSW,LAC,36,100,844,837,86,649,121,545,213,4,530,-1
201411050GSW,2015,GSW,LAC,37,100,73,824,86,649,545,213,4,931,530,-1
201411050GSW,2015,GSW,LAC,39,73,824,86,376,649,545,213,877,4,530,-1
201411050GSW,2015,GSW,LAC,41,73,539,824,781,649,545,213,877,4,530,-1
201411050GSW,2015,GSW,LAC,45,824,837,781,376,649,538,264,877,4,530,1
201411050GSW,2015,GSW,LAC,47,539,824,837,86,376,538,264,877,4,931,-1
201411080HOU,2015,HOU,GSW,0,920,611,1011,1023,429,73,824,837,781,649,-1
201411080HOU,2015,HOU,GSW,6,920,611,1011,1023,429,73,824,837,86,649,-1
201411080HOU,2015,HOU,GSW,8,823,920,611,1011,429,100,73,824,86,649,-1
201411080HOU,2015,HOU,GSW,9,823,611,338,1011,429,100,824,86,572,649,1
201411080HOU,2015,HOU,GSW,10,823,611,338,429,961,100,824,86,572,649,-1
201411080HOU,2015,HOU,GSW,11,823,49,611,338,961,100,824,86,572,649,-1
201411080HOU,2015,HOU,GSW,12,823,49,920,338,961,100,837,86,572,376,-1
201411080HOU,2015,HOU,GSW,13,823,49,920,338,961,100,837,781,572,376,1
201411080HOU,2015,HOU,GSW,15,823,920,338,1011,429,100,837,781,572,376,-1
201411080HOU,2015,HOU,GSW,16,920,338,1011,1023,429,73,824,781,376,649,-1
201411080HOU,2015,HOU,GSW,17,920,611,1011,1023,429,73,824,781,376,649,-1
201411080HOU,2015,HOU,GSW,19,920,611,1011,1023,429,100,73,824,376,649,1
201411080HOU,2015,HOU,GSW,20,823,920,611,1011,429,100,73,824,86,649,-1
201411080HOU,2015,HOU,GSW,21,823,611,338,1011,429,100,73,824,86,649,1
201411080HOU,2015,HOU,GSW,24,823,49,611,338,429,100,73,837,86,649,-1
201411080HOU,2015,HOU,GSW,25,920,611,1011,1023,429,73,824,837,781,649,-1
201411080HOU,2015,HOU,GSW,28,920,611,1011,1023,429,100,73,837,781,649,-1
201411080HOU,2015,HOU,GSW,29,823,920,611,1011,429,100,73,837,781,649,-1
201411080HOU,2015,HOU,GSW,31,823,611,338,1011,429,100,73,837,781,649,1
201411080HOU,2015,HOU,GSW,33,823,49,920,611,338,100,73,837,781,649,-1
201411080HOU,2015,HOU,GSW,35,823,49,920,611,338,100,73,781,86,376,-1
201411080HOU,2015,HOU,GSW,36,49,920,611,338,1011,100,824,844,86,376,1
201411080HOU,2015,HOU,GSW,37,823,49,920,611,338,100,824,844,86,376,-1
201411080HOU,2015,HOU,GSW,38,823,920,611,338,429,100,824,844,86,376,1
201411080HOU,2015,HOU,GSW,39,823,920,611,338,429,73,824,86,376,649,1
201411080HOU,2015,HOU,GSW,40,823,920,611,338,429,73,824,781,376,649,-1
201411080HOU,2015,HOU,GSW,42,920,611,338,1011,429,100,73,824,781,649,-1
201411080HOU,2015,HOU,GSW,44,823,920,611,338,429,100,73,824,781,649,-1
201411090PHO,2015,PHO,GSW,0,671,542,787,738,866,73,824,837,86,649,1
201411090PHO,2015,PHO,GSW,9,895,542,729,738,415,100,73,824,376,649,-1
201411090PHO,2015,PHO,GSW,10,895,557,542,729,415,100,824,844,376,649,1
201411090PHO,2015,PHO,GSW,11,895,557,542,729,415,100,824,844,86,376,-1
201411090PHO,2015,PHO,GSW,13,895,557,198,729,415,100,844,837,86,376,-1
201411090PHO,2015,PHO,GSW,15,557,198,729,866,415,100,844,837,86,376,1
201411090PHO,2015,PHO,GSW,18,557,198,729,866,415,100,73,837,376,649,-1
201411090PHO,2015,PHO,GSW,19,671,729,738,866,415,100,73,824,376,649,-1
201411090PHO,2015,PHO,GSW,20,671,542,787,738,866,100,73,539,824,649,-1
201411090PHO,2015,PHO,GSW,22,671,542,787,738,415,100,539,824,844,649,1
201411090PHO,2015,PHO,GSW,23,671,542,787,738,415,100,539,824,572,649,1
201411090PHO,2015,PHO,GSW,25,671,542,787,738,866,73,824,837,86,649,1
201411090PHO,2015,PHO,GSW,31,671,542,787,738,866,824,844,837,86,649,-1
201411090PHO,2015,PHO,GSW,32,671,542,738,866,415,100,824,572,376,649,1
201411090PHO,2015,PHO,GSW,33,542,729,738,866,415,100,824,572,376,649,-1
201411090PHO,2015,PHO,GSW,34,542,729,787,738,415,100,824,86,572,376,-1
201411090PHO,2015,PHO,GSW,35,198,542,729,787,415,100,837,86,572,376,-1
201411090PHO,2015,PHO,GSW,37,198,729,787,866,415,100,837,86,572,376,1
201411090PHO,2015,PHO,GSW,39,198,729,787,866,415,100,73,824,837,649,1
201411090PHO,2015,PHO,GSW,44,198,729,787,866,415,100,73,824,837,86,1
201411090PHO,2015,PHO,GSW,45,198,729,787,866,415,100,824,86,572,649,1
201411090PHO,2015,PHO,GSW,47,198,729,787,866,415,539,86,572,955,376,-1
201411110GSW,2015,GSW,SAS,0,73,824,837,781,649,630,732,259,377,424,-1
201411110GSW,2015,GSW,SAS,7,100,73,837,781,649,732,15,259,377,424,-1
201411110GSW,2015,GSW,SAS,8,100,73,837,781,649,832,739,732,15,259,1
201411110GSW,2015,GSW,SAS,10,100,824,844,86,649,832,5,739,993,15,-1
201411110GSW,2015,GSW,SAS,11,100,824,844,86,376,832,5,739,993,15,-1
201411110GSW,2015,GSW,SAS,13,100,824,844,86,376,832,5,993,15,424,1
201411110GSW,2015,GSW,SAS,15,100,824,844,781,376,5,630,993,377,424,1
201411110GSW,2015,GSW,SAS,16,100,73,824,781,376,5,630,732,377,424,1
201411110GSW,2015,GSW,SAS,17,100,73,837,781,376,630,732,259,377,424,-1
201411110GSW,2015,GSW,SAS,18,100,73,837,781,649,739,630,732,259,377,-1
201411110GSW,2015,GSW,SAS,19,73,539,837,781,649,739,630,732,259,377,-1
201411110GSW,2015,GSW,SAS,22,73,824,837,781,649,732,15,259,377,424,1
201411110GSW,2015,GSW,SAS,23,73,824,837,781,649,5,732,15,377,424,-1
201411110GSW,2015,GSW,SAS,24,100,844,837,781,649,5,732,15,377,424,1
201411110GSW,2015,GSW,SAS,25,73,824,837,781,649,630,732,259,377,424,-1
201411110GSW,2015,GSW,SAS,30,73,824,837,781,649,5,630,15,377,424,-1
201411110GSW,2015,GSW,SAS,31,100,73,824,781,649,5,739,630,15,377,-1
201411110GSW,2015,GSW,SAS,34,100,844,837,781,649,832,5,739,732,15,-1
201411110GSW,2015,GSW,SAS,35,100,844,837,781,86,832,5,739,732,15,1
201411110GSW,2015,GSW,SAS,37,100,837,86,572,376,832,5,739,732,15,1
201411110GSW,2015,GSW,SAS,38,100,837,86,572,376,5,739,732,15,377,-1
201411110GSW,2015,GSW,SAS,39,100,837,86,572,376,739,630,259,377,424,-1
201411110GSW,2015,GSW,SAS,40,824,837,781,572,649,739,630,259,377,424,1
201411110GSW,2015,GSW,SAS,41,824,837,781,572,649,630,732,259,377,424,-1
201411110GSW,2015,GSW,SAS,43,824,837,781,572,649,630,732,15,377,424,-1
201411110GSW,2015,GSW,SAS,44,824,837,781,572,649,5,732,15,377,424,-1
201411130GSW,2015,GSW,BRK,0,73,824,837,781,649,973,537,150,95,80,1
201411130GSW,2015,GSW,BRK,6,73,824,837,781,649,120,973,537,150,95,1
201411130GSW,2015,GSW,BRK,7,100,73,824,781,649,120,973,537,150,95,-1
201411130GSW,2015,GSW,BRK,10,100,73,824,86,649,973,26,95,909,868,1
201411130GSW,2015,GSW,BRK,11,100,837,86,572,376,159,973,26,909,868,1
201411130GSW,2015,GSW,BRK,15,100,837,86,572,376,159,150,26,909,868,-1
201411130GSW,2015,GSW,BRK,18,100,73,837,781,649,159,537,150,26,80,1
201411130GSW,2015,GSW,BRK,19,73,824,837,781,649,159,150,26,95,80,1
201411130GSW,2015,GSW,BRK,20,73,824,837,781,649,159,973,26,95,80,1
201411130GSW,2015,GSW,BRK,22,100,73,824,781,649,973,150,95,909,868,1
201411130GSW,2015,GSW,BRK,24,100,824,781,572,649,973,150,95,909,868,1
201411130GSW,2015,GSW,BRK,25,73,824,837,781,649,973,537,150,95,80,-1
201411130GSW,2015,GSW,BRK,29,73,824,837,781,649,973,537,150,95,868,-1
201411130GSW,2015,GSW,BRK,30,73,824,837,781,649,973,150,95,909,868,1
201411130GSW,2015,GSW,BRK,31,824,837,781,572,649,973,150,95,909,868,-1
201411130GSW,2015,GSW,BRK,32,100,824,781,572,649,973,150,95,909,868,1
201411130GSW,2015,GSW,BRK,34,100,824,781,572,376,973,537,150,95,909,-1
201411130GSW,2015,GSW,BRK,36,100,837,86,572,376,159,150,26,95,909,1
201411130GSW,2015,GSW,BRK,37,100,837,86,572,376,159,973,26,909,868,-1
201411130GSW,2015,GSW,BRK,39,100,73,837,376,649,159,973,537,26,868,-1
201411130GSW,2015,GSW,BRK,40,100,73,837,781,649,159,973,537,26,868,-1
201411130GSW,2015,GSW,BRK,43,100,73,824,781,649,159,973,537,26,868,1
201411130GSW,2015,GSW,BRK,44,100,73,824,781,86,159,973,537,26,868,-1
201411130GSW,2015,GSW,BRK,45,100,73,824,781,86,159,537,150,26,95,-1
