game,season,home_team,away_team,starting_min,home_0,home_1,home_2,home_3,home_4,away_0,away_1,away_2,away_3,away_4,outcome
201010270DEN,2011,DEN,UTA,0,460,82,147,253,265,32,120,150,326,322,1
201010270DEN,2011,DEN,UTA,3,106,460,82,147,265,32,120,150,326,322,1
201010270DEN,2011,DEN,UTA,4,106,460,82,265,655,32,120,150,326,322,-1
201010270DEN,2011,DEN,UTA,6,106,460,82,265,655,32,19,150,326,322,-1
201010270DEN,2011,DEN,UTA,8,106,460,82,314,655,32,150,699,326,322,1
201010270DEN,2011,DEN,UTA,10,106,82,84,314,655,32,150,699,326,322,1
201010270DEN,2011,DEN,UTA,11,106,82,84,314,655,32,150,699,710,322,-1
201010270DEN,2011,DEN,UTA,12,106,82,147,84,314,150,699,710,501,322,-1
201010270DEN,2011,DEN,UTA,13,106,82,147,84,253,150,699,710,501,383,-1
201010270DEN,2011,DEN,UTA,14,106,82,147,84,253,124,699,710,501,383,-1
201010270DEN,2011,DEN,UTA,15,106,460,147,84,253,124,699,710,501,383,-1
201010270DEN,2011,DEN,UTA,16,106,460,147,84,253,124,153,699,501,383,1
201010270DEN,2011,DEN,UTA,17,460,147,84,253,265,32,120,124,153,383,-1
201010270DEN,2011,DEN,UTA,19,460,82,147,253,655,32,120,150,326,322,1
201010270DEN,2011,DEN,UTA,22,460,82,147,253,655,32,120,124,326,322,1
201010270DEN,2011,DEN,UTA,23,460,82,147,314,655,32,120,124,326,322,1
201010270DEN,2011,DEN,UTA,24,460,82,147,314,655,32,120,326,322,383,-1
201010270DEN,2011,DEN,UTA,25,460,82,147,253,265,32,120,150,326,322,-1
201010270DEN,2011,DEN,UTA,31,106,460,82,147,253,32,19,150,326,322,1
201010270DEN,2011,DEN,UTA,34,106,82,147,84,253,32,19,150,326,322,-1
201010270DEN,2011,DEN,UTA,37,106,82,84,265,655,19,124,153,699,501,-1
201010270DEN,2011,DEN,UTA,39,82,84,314,265,655,19,124,153,699,501,-1
201010270DEN,2011,DEN,UTA,42,106,460,84,265,655,19,124,153,699,501,-1
201010270DEN,2011,DEN,UTA,43,106,460,84,265,655,124,153,699,710,383,1
201010270DEN,2011,DEN,UTA,44,460,668,84,265,655,124,153,699,710,383,-1
201010270DEN,2011,DEN,UTA,46,460,668,348,265,655,124,153,699,710,383,1
201010290NOH,2011,NOH,DEN,0,121,110,35,498,429,460,82,147,253,265,-1
201010290NOH,2011,NOH,DEN,8,121,110,35,429,440,106,82,147,253,655,-1
201010290NOH,2011,NOH,DEN,9,121,110,368,451,440,106,82,147,253,655,-1
201010290NOH,2011,NOH,DEN,12,483,555,368,451,440,106,82,84,314,655,-1
201010290NOH,2011,NOH,DEN,15,483,555,645,368,440,106,460,84,314,655,-1
201010290NOH,2011,NOH,DEN,16,282,555,645,368,440,106,460,84,314,655,-1
201010290NOH,2011,NOH,DEN,18,121,282,555,645,368,106,460,84,253,655,-1
201010290NOH,2011,NOH,DEN,19,121,110,555,645,368,106,460,147,84,253,-1
201010290NOH,2011,NOH,DEN,20,121,110,35,555,645,460,82,147,84,253,-1
201010290NOH,2011,NOH,DEN,21,121,110,35,645,429,460,82,147,84,253,-1
201010290NOH,2011,NOH,DEN,24,121,110,498,645,451,460,82,147,84,253,-1
201010290NOH,2011,NOH,DEN,25,121,110,35,498,429,460,82,147,253,265,-1
201010290NOH,2011,NOH,DEN,32,121,110,35,645,429,106,460,82,147,253,-1
201010290NOH,2011,NOH,DEN,34,121,110,483,645,429,106,82,147,84,253,-1
201010290NOH,2011,NOH,DEN,36,282,483,555,645,429,106,82,147,84,253,-1
201010290NOH,2011,NOH,DEN,37,282,483,555,645,429,106,82,84,265,655,-1
201010290NOH,2011,NOH,DEN,39,35,555,645,368,429,106,82,84,265,655,-1
201010290NOH,2011,NOH,DEN,40,121,35,498,368,440,106,460,84,265,655,-1
201010290NOH,2011,NOH,DEN,41,121,110,35,498,440,106,460,84,265,655,-1
201010290NOH,2011,NOH,DEN,42,121,110,35,498,440,460,84,253,265,655,-1
201010290NOH,2011,NOH,DEN,43,121,110,35,498,429,460,82,147,253,265,-1
201010290NOH,2011,NOH,DEN,45,121,110,35,498,429,106,460,82,147,253,-1
201010300HOU,2011,HOU,DEN,0,464,203,465,286,442,460,82,147,253,265,-1
201010300HOU,2011,HOU,DEN,5,203,284,465,286,442,460,82,147,253,265,1
201010300HOU,2011,HOU,DEN,7,47,203,284,465,286,460,82,147,253,265,-1
201010300HOU,2011,HOU,DEN,8,47,203,284,465,286,147,84,253,265,655,-1
201010300HOU,2011,HOU,DEN,9,47,604,203,284,465,106,147,84,253,655,1
201010300HOU,2011,HOU,DEN,11,47,604,67,547,284,106,147,668,265,655,-1
201010300HOU,2011,HOU,DEN,13,464,604,67,547,606,106,147,668,265,655,1
201010300HOU,2011,HOU,DEN,14,464,604,67,547,606,106,460,668,265,655,1
201010300HOU,2011,HOU,DEN,15,464,604,67,547,606,106,460,82,265,655,-1
201010300HOU,2011,HOU,DEN,16,464,604,67,547,442,106,460,82,265,655,-1
201010300HOU,2011,HOU,DEN,18,464,67,203,286,442,106,460,82,265,655,1
201010300HOU,2011,HOU,DEN,19,203,284,465,286,442,106,460,82,265,655,1
201010300HOU,2011,HOU,DEN,20,203,284,465,286,442,460,82,147,253,265,1
201010300HOU,2011,HOU,DEN,22,47,203,284,465,286,106,82,147,84,253,-1
201010300HOU,2011,HOU,DEN,23,47,547,203,465,286,106,82,147,84,253,-1
201010300HOU,2011,HOU,DEN,24,47,547,203,465,286,106,460,147,84,253,-1
201010300HOU,2011,HOU,DEN,25,47,547,203,465,286,460,82,147,253,265,-1
201010300HOU,2011,HOU,DEN,26,464,47,203,465,286,460,82,147,253,265,1
201010300HOU,2011,HOU,DEN,29,203,284,465,286,442,460,82,147,253,265,-1
201010300HOU,2011,HOU,DEN,31,203,284,465,286,442,106,460,82,147,253,-1
201010300HOU,2011,HOU,DEN,33,203,284,465,286,442,106,82,147,84,253,-1
201010300HOU,2011,HOU,DEN,35,203,284,465,286,442,106,82,84,253,655,-1
201010300HOU,2011,HOU,DEN,36,47,604,547,284,465,106,82,84,265,655,1
201010300HOU,2011,HOU,DEN,37,464,47,604,67,547,106,82,84,265,655,-1
201010300HOU,2011,HOU,DEN,39,464,604,67,547,465,106,460,84,265,655,1
201010300HOU,2011,HOU,DEN,41,464,604,67,203,465,106,460,84,265,655,1
201010300HOU,2011,HOU,DEN,42,464,604,67,203,465,82,147,84,253,265,-1
201010300HOU,2011,HOU,DEN,44,464,203,465,286,442,82,147,84,253,265,-1
201010300HOU,2011,HOU,DEN,45,464,203,465,286,442,106,460,82,147,253,-1
201011030DEN,2011,DEN,DAL,0,460,82,147,668,265,175,102,31,338,443,1
201011030DEN,2011,DEN,DAL,8,460,82,147,668,265,174,102,706,31,375,1
201011030DEN,2011,DEN,DAL,9,106,460,82,147,84,174,102,706,31,375,-1
201011030DEN,2011,DEN,DAL,11,106,82,147,84,655,174,102,293,338,375,-1
201011030DEN,2011,DEN,DAL,13,106,460,147,84,655,174,175,293,338,375,-1
201011030DEN,2011,DEN,DAL,14,106,460,84,265,655,174,175,293,338,375,1
201011030DEN,2011,DEN,DAL,15,106,460,668,265,655,174,175,293,338,375,1
201011030DEN,2011,DEN,DAL,16,106,460,668,265,655,173,175,293,338,375,1
201011030DEN,2011,DEN,DAL,17,106,460,668,265,655,173,102,293,31,375,-1
201011030DEN,2011,DEN,DAL,19,106,460,82,668,655,102,293,31,375,443,-1
201011030DEN,2011,DEN,DAL,20,460,82,147,668,265,175,102,293,31,443,-1
201011030DEN,2011,DEN,DAL,21,460,82,147,668,265,175,102,31,338,443,-1
201011030DEN,2011,DEN,DAL,24,82,147,668,265,655,175,102,31,338,443,-1
201011030DEN,2011,DEN,DAL,25,460,82,147,668,265,175,102,31,338,443,-1
201011030DEN,2011,DEN,DAL,30,106,460,82,147,668,175,102,31,338,443,1
201011030DEN,2011,DEN,DAL,31,106,460,82,147,655,175,102,31,338,443,-1
201011030DEN,2011,DEN,DAL,32,106,460,82,147,655,175,31,338,375,443,1
201011030DEN,2011,DEN,DAL,33,106,82,147,84,655,175,31,338,375,443,1
201011030DEN,2011,DEN,DAL,35,106,82,147,84,655,174,102,293,338,375,1
201011030DEN,2011,DEN,DAL,37,106,460,82,84,655,174,102,293,338,375,-1
201011030DEN,2011,DEN,DAL,40,106,460,82,84,655,174,175,293,31,375,1
201011030DEN,2011,DEN,DAL,43,106,460,82,84,655,175,102,31,338,443,-1
201011030DEN,2011,DEN,DAL,44,106,460,82,147,655,175,102,31,338,443,-1
201011050DEN,2011,DEN,LAC,0,460,82,147,314,265,669,11,671,546,290,-1
201011050DEN,2011,DEN,LAC,6,460,82,147,314,265,669,11,546,390,290,1
201011050DEN,2011,DEN,LAC,10,106,82,147,84,314,669,545,671,390,290,-1
201011050DEN,2011,DEN,LAC,12,106,82,84,265,655,11,545,671,546,390,1
201011050DEN,2011,DEN,LAC,15,106,82,84,265,655,670,11,81,671,390,-1
201011050DEN,2011,DEN,LAC,16,106,460,84,265,655,670,11,81,671,390,-1
201011050DEN,2011,DEN,LAC,19,106,460,84,265,655,11,81,671,546,290,1
201011050DEN,2011,DEN,LAC,21,106,460,82,147,314,11,81,671,546,290,1
201011050DEN,2011,DEN,LAC,22,106,460,82,147,314,669,11,671,546,290,1
201011050DEN,2011,DEN,LAC,25,460,82,147,314,265,669,11,671,546,290,1
201011050DEN,2011,DEN,LAC,33,106,460,82,147,314,81,545,671,546,290,1
201011050DEN,2011,DEN,LAC,34,106,82,147,84,314,81,545,671,390,290,-1
201011050DEN,2011,DEN,LAC,35,106,82,147,84,314,81,545,546,390,290,1
201011050DEN,2011,DEN,LAC,37,106,82,84,314,655,670,11,81,546,390,-1
